director,genre,metascore,runtime,strarring,summary,title,url,userscore,year
,,,,"<a href=""/person/peter-simonischek"">Peter Simonischek</a>,<a href=""/person/sandra-huller"">Sandra Hüller</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_545140""><span class=""blurb blurb_collapsed"">Winfried (Peter Simonischek) doesn’t see much of his working daughter Ines (Sandra Hüller). The suddenly student-less music teacher decides to surprise her with a visit after the death of his old dog. It’s an awkward move because serious career woman Ines is working on an important project as a corporate strategist in Bucharest. The</span><span class=""blurb blurb_expanded"">Winfried (Peter Simonischek) doesn’t see much of his working daughter Ines (Sandra Hüller). The suddenly student-less music teacher decides to surprise her with a visit after the death of his old dog. It’s an awkward move because serious career woman Ines is working on an important project as a corporate strategist in Bucharest. The geographical change doesn’t help the two to see more eye to eye. Practical joker Winfried loves to annoy his daughter with corny pranks. What’s worse are his little jabs at her routine lifestyle of long meetings, hotel bars and performance reports. Father and daughter reach an impasse, and Winfried agrees to return home to Germany. Enter flashy Toni Erdmann: Winfried’s smooth-talking alter ego. Disguised in a tacky suit, weird wig and even weirder fake teeth, Toni barges into Ines’ professional life, claiming to be her CEO’s life coach. As Toni, Winfried is bolder and doesn’t hold back, but Ines meets the challenge. The harder they push, the closer they become. In all the madness, Ines begins to understand that her eccentric father might deserve some place in her life after all. [Sony Pictures Classics]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Toni Erdmann</h1>,,,"<span class=""release_year lighter"">2016</span>"
,,,,"<a href=""/person/ada-lichtman"">Ada Lichtman</a>,<a href=""/person/claude-lanzmann"">Claude Lanzmann</a>,<a href=""/person/hanna-marton"">Hanna Marton</a>,<a href=""/person/paula-biren"">Paula Biren</a>,<a href=""/person/ruth-elias"">Ruth Elias</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_549675""><span class=""blurb blurb_collapsed"">Starting in 1999, Claude Lanzmann made several films that could be considered satellites of Shoah, comprised of interviews conducted in the 1970s that didn’t make it into the final, monumental work. In the last years of the late director’s life, he decided to devote a film to four women from four different areas of Eastern Europe with four</span><span class=""blurb blurb_expanded"">Starting in 1999, Claude Lanzmann made several films that could be considered satellites of Shoah, comprised of interviews conducted in the 1970s that didn’t make it into the final, monumental work. In the last years of the late director’s life, he decided to devote a film to four women from four different areas of Eastern Europe with four different destinies, each finding herself improbably alive after war’s end: Ruth Elias from Ostravia, Czechoslovakia; Paula Biren from Lodz, Poland; Ada Lichtman from further south in Krakow; and Hannah Marton from Cluj, or Kolozsvár, in Transylvania. Survivors of unimaginable Nazi horrors during the Holocaust, they tell their individual stories and become crucial witnesses to the barbarism they experienced. Each possesses a vivid intelligence and a commitment to candor that make their accounts of what they suffered through both searing and unforgettable. Four Sisters now arrives on the screen to remind audiences of the immense courage it took for these witnesses to return to their past as they share their deeply moving personal tragedies. The frankness of their words, their intensely scrutinized faces, and their bravery as they revisit unimaginable experiences will make them lasting presences in the moral universe of younger generations. [Cohen Media Group]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Shoah: Four Sisters</h1>,,,"<span class=""release_year lighter"">2018</span>"
,,,,"<a href=""/person/michelle-yeoh"">Michelle Yeoh</a>,<a href=""/person/yun-fat-chow"">Yun-Fat Chow</a>,<a href=""/person/ziyi-zhang"">Ziyi Zhang</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>In 19th century China, a magical sword given by a warrior (Chow Yun-Fat) to his lover (Michelle Yeoh) is stolen and the quest to find it ensues.  The search leads to the House of Yu where the story travels in a different direction with the introduction of a mysterious assassin and another love story.</span>
                                </span>
                            </div>","<h1>Crouching Tiger, Hidden Dragon</h1>",,,"<span class=""release_year lighter"">2000</span>"
,,,,"<a href=""/person/glenn-close"">Glenn Close</a>,<a href=""/person/jeremy-irons"">Jeremy Irons</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Jeremy Irons plays socialite Claus von Bulow, seeking legal exoneration in the most sensational attempted murder scandal of the 1980s. (Warner Bros.)</span>
                                </span>
                            </div>",<h1>Reversal of Fortune</h1>,,,"<span class=""release_year lighter"">1990</span>"
,,,,"<a href=""/person/dirk-bogarde"">Dirk Bogarde</a>,<a href=""/person/james-fox"">James Fox</a>,<a href=""/person/sarah-miles"">Sarah Miles</a>,<a href=""/person/wendy-craig"">Wendy Craig</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>The Servant looks at the decaying British class system through the relationship between an aristocrat and his scheming butler.</span>
                                </span>
                            </div>",<h1>The Servant</h1>,,,"<span class=""release_year lighter"">1964</span>"
,,,,"<a href=""/person/akira-emoto"">Akira Emoto</a>,<a href=""/person/chizuru-ikewaki"">Chizuru Ikewaki</a>,<a href=""/person/daisuke-kuroda"">Daisuke Kuroda</a>,<a href=""/person/jyo-kairi"">Jyo Kairi</a>,<a href=""/person/kazuaki-shimizu"">Kazuaki Shimizu</a>,<a href=""/person/kengo-kora"">Kengo Kôra</a>,<a href=""/person/kirin-kiki"">Kirin Kiki</a>,<a href=""/person/lily-franky"">Lily Franky</a>,<a href=""/person/mayu-matsuoka"">Mayu Matsuoka</a>,<a href=""/person/miyu-sasaki"">Miyu Sasaki</a>,<a href=""/person/moemi-katayama"">Moemi Katayama</a>,<a href=""/person/sakura-ando"">Sakura Andô</a>,<a href=""/person/sosuke-ikematsu"">Sôsuke Ikematsu</a>,<a href=""/person/yoko-moriguchi"">Yôko Moriguchi</a>,<a href=""/person/yuki-yamada"">Yûki Yamada</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_548739""><span class=""blurb blurb_collapsed"">After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu’s wife agrees to take care of her after learning of the hardships she faces.Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily</span><span class=""blurb blurb_expanded"">After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu’s wife agrees to take care of her after learning of the hardships she faces.Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily together until an unforeseen incident reveals hidden secrets, testing the bonds that unite them.</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Shoplifters</h1>,,,"<span class=""release_year lighter"">2018</span>"
,,,,,"<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Carlos tells the story of Ilich Ramirez Sanchez who, for two decades, was one of the most wanted terrorists, on the planet. Between 1974 and 1994, he lived several lives under various pseudonyms, weaving his way through the complexities of international politics of the period. [IFC Films]</span>
                                </span>
                            </div>",<h1>Carlos</h1>,,,"<span class=""release_year lighter"">2010</span>"
,,,,"<a href=""/person/andy-serkis"">Andy Serkis</a>,<a href=""/person/orlando-bloom"">Orlando Bloom</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_500201""><span class=""blurb blurb_collapsed"">Sauron's forces have laid siege to Minas Tirith, the capital of Gondor, in their efforts to eliminate the race of men.  The once-great kingdom, watched over by a fading steward, has never been in more desperate need of its king. But can Aragorn (Viggo Mortensen) answer the call of his heritage and become what he was born to be?  In no small</span><span class=""blurb blurb_expanded"">Sauron's forces have laid siege to Minas Tirith, the capital of Gondor, in their efforts to eliminate the race of men.  The once-great kingdom, watched over by a fading steward, has never been in more desperate need of its king. But can Aragorn (Viggo Mortensen) answer the call of his heritage and become what he was born to be?  In no small measure, the fate of Middle-earth rests on his broad shoulders.  [New Line Cinema]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>The Lord of the Rings: The Return of the King</h1>,,,"<span class=""release_year lighter"">2003</span>"
,,,,"<a href=""/person/agnes-moorehead"">Agnes Moorehead</a>,<a href=""/person/anne-baxter"">Anne Baxter</a>,<a href=""/person/dolores-costello"">Dolores Costello</a>,<a href=""/person/edwin-august"">Edwin August</a>,<a href=""/person/erskine-sanford"">Erskine Sanford</a>,<a href=""/person/joseph-cotten"">Joseph Cotten</a>,<a href=""/person/orson-welles"">Orson Welles</a>,<a href=""/person/ray-collins"">Ray Collins</a>,<a href=""/person/richard-bennett"">Richard Bennett</a>,<a href=""/person/tim-holt"">Tim Holt</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.</span>
                                </span>
                            </div>",<h1>The Magnificent Ambersons</h1>,,,"<span class=""release_year lighter"">1942</span>"
,,,,"<a href=""/person/emmanuelle-riva"">Emmanuelle Riva</a>,<a href=""/person/isabelle-huppert"">Isabelle Huppert</a>,<a href=""/person/jean-louis-trintignant"">Jean-Louis Trintignant</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has an attack. The couple's bond of love is severely tested. [Sony Pictures Classics]</span>
                                </span>
                            </div>",<h1>Amour</h1>,,,"<span class=""release_year lighter"">2012</span>"
,,,,"<a href=""/person/agncs-varda"">Agnès Varda</a>,<a href=""/person/amaury-bossy"">Amaury Bossy</a>,<a href=""/person/claude-ferchal"">Claude Ferchal</a>,<a href=""/person/claude-flaert"">Claude Flaert</a>,<a href=""/person/jr"">J.R.</a>,<a href=""/person/jean-luc-godard"">Jean-Luc Godard</a>,<a href=""/person/jean-paul-beaujon"">Jean-Paul Beaujon</a>,<a href=""/person/jeannine-carpentier"">Jeannine Carpentier</a>,<a href=""/person/jr"">JR</a>,<a href=""/person/laurent-levesque"">Laurent Levesque</a>,<a href=""/person/marie-douvet"">Marie Douvet</a>,<a href=""/person/vincent-gils"">Vincent Gils</a>,<a href=""/person/yves-boulen"">Yves Boulen</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_546672""><span class=""blurb blurb_collapsed"">89-year old Agnes Varda, one of the leading figures of the French New Wave, and acclaimed 33 year-old French photographer and muralist JR teamed up to co-direct this enchanting documentary/road movie. Kindred spirits, Varda and JR share a lifelong passion for images and how they are created, displayed and shared. Together they travel around</span><span class=""blurb blurb_expanded"">89-year old Agnes Varda, one of the leading figures of the French New Wave, and acclaimed 33 year-old French photographer and muralist JR teamed up to co-direct this enchanting documentary/road movie. Kindred spirits, Varda and JR share a lifelong passion for images and how they are created, displayed and shared. Together they travel around the villages of France in JR’s photo truck meeting locals, learning their stories and producing epic-size portraits of them. The photos are prominently displayed on houses, barns, storefronts and trains revealing the humanity in their subjects, and themselves. Faces Places documents these heart-warming encounters as well as the unlikely, tender friendship they formed along the way. [Cohen Media Group]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Faces Places</h1>,,,"<span class=""release_year lighter"">2017</span>"
,,,,"<a href=""/person/andy-buckley"">Andy Buckley</a>,<a href=""/person/beanie-feldstein"">Beanie Feldstein</a>,<a href=""/person/danielle-macdonald"">Danielle Macdonald</a>,<a href=""/person/jake-mcdorman"">Jake McDorman</a>,<a href=""/person/jordan-rodrigues"">Jordan Rodrigues</a>,<a href=""/person/kathryn-newton"">Kathryn Newton</a>,<a href=""/person/kristen-cloke"">Kristen Cloke</a>,<a href=""/person/laura-marano"">Laura Marano</a>,<a href=""/person/laurie-metcalf"">Laurie Metcalf</a>,<a href=""/person/lois-smith"">Lois Smith</a>,<a href=""/person/lucas-hedges"">Lucas Hedges</a>,<a href=""/person/odeya-rush"">Odeya Rush</a>,<a href=""/person/saoirse-ronan"">Saoirse Ronan</a>,<a href=""/person/stephen-henderson"">Stephen Henderson</a>,<a href=""/person/timoth"">Timoth</a>,<a href=""/person/tracy-letts"">Tracy Letts</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_547211""><span class=""blurb blurb_collapsed"">Christine ""Lady Bird"" McPherson (Saoirse Ronan) fights against but is exactly like her wildly loving, deeply opinionated and strong-willed mom (Laurie Metcalf), a nurse working tirelessly to keep her family afloat after Lady Bird's father (Tracy Letts) loses his job. Set in Sacramento, California in 2002, amidst a rapidly shifting American</span><span class=""blurb blurb_expanded"">Christine ""Lady Bird"" McPherson (Saoirse Ronan) fights against but is exactly like her wildly loving, deeply opinionated and strong-willed mom (Laurie Metcalf), a nurse working tirelessly to keep her family afloat after Lady Bird's father (Tracy Letts) loses his job. Set in Sacramento, California in 2002, amidst a rapidly shifting American economic landscape, Lady Bird is an affecting look at the relationships that shape us, the beliefs that define us, and the unmatched beauty of a place called home. [A24]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Lady Bird</h1>,,,"<span class=""release_year lighter"">2017</span>"
,,,,"<a href=""/person/david-lewis"">David Lewis</a>,<a href=""/person/fred-macmurray"">Fred MacMurray</a>,<a href=""/person/hope-holiday"">Hope Holiday</a>,<a href=""/person/jack-kruschen"">Jack Kruschen</a>,<a href=""/person/jack-lemmon"">Jack Lemmon</a>,<a href=""/person/joan-shawlee"">Joan Shawlee</a>,<a href=""/person/johnny-seven"">Johnny Seven</a>,<a href=""/person/naomi-stevens"">Naomi Stevens</a>,<a href=""/person/ray-walston"">Ray Walston</a>,<a href=""/person/shirley-maclaine"">Shirley MacLaine</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.</span>
                                </span>
                            </div>",<h1>The Apartment</h1>,,,"<span class=""release_year lighter"">1960</span>"
,,,,"<a href=""/person/paul-giamatti"">Paul Giamatti</a>,<a href=""/person/sandra-oh"">Sandra Oh</a>,<a href=""/person/thomas-haden-church"">Thomas Haden Church</a>,<a href=""/person/virginia-madsen"">Virginia Madsen</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Two old friends set off on a wine-tasting road trip...only to veer dizzily sideways into a wry, comedic exploration of the crazy vicissitudes of love and friendship, the damnable persistence of loneliness and dreams and the enduring war between Pinot and Cabernet.  [Fox Searchlight Pictures]</span>
                                </span>
                            </div>",<h1>Sideways</h1>,,,"<span class=""release_year lighter"">2004</span>"
,,,,"<a href=""/person/anthony-ross"">Anthony Ross</a>,<a href=""/person/ellen-corby"">Ellen Corby</a>,<a href=""/person/gregory-peck"">Gregory Peck</a>,<a href=""/person/helen-westcott"">Helen Westcott</a>,<a href=""/person/jean-parker"">Jean Parker</a>,<a href=""/person/karl-malden"">Karl Malden</a>,<a href=""/person/millard-mitchell"">Millard Mitchell</a>,<a href=""/person/richard-jaeckel"">Richard Jaeckel</a>,<a href=""/person/skip-homeier"">Skip Homeier</a>,<a href=""/person/verna-felton"">Verna Felton</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Notorious gunfighter Jimmy Ringo rides into town to find his true love, who doesn't want to see him. He hasn't come looking for trouble, but trouble finds him around every corner.</span>
                                </span>
                            </div>",<h1>The Gunfighter</h1>,,,"<span class=""release_year lighter"">1950</span>"
,,,,"<a href=""/person/amy-poehler"">Amy Poehler</a>,<a href=""/person/bill-hader"">Bill Hader</a>,<a href=""/person/lewis-black"">Lewis Black</a>,<a href=""/person/mindy-kaling"">Mindy Kaling</a>,<a href=""/person/phyllis-smith"">Phyllis Smith</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_539956""><span class=""blurb blurb_collapsed"">Growing up can be a bumpy road, and it’s no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions: Joy (Amy Poehler), Fear (Bill Hader), Anger (Lewis Black), Disgust (Mindy Kaling) and Sadness (Phyllis Smith). The emotions live in</span><span class=""blurb blurb_expanded"">Growing up can be a bumpy road, and it’s no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions: Joy (Amy Poehler), Fear (Bill Hader), Anger (Lewis Black), Disgust (Mindy Kaling) and Sadness (Phyllis Smith). The emotions live in Headquarters, the control center inside Riley’s mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley’s main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house, and school. [Pixar]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Inside Out</h1>,,,"<span class=""release_year lighter"">2015</span>"
,,,,"<a href=""/person/marlon-brando"">Marlon Brando</a>,<a href=""/person/martin-sheen"">Martin Sheen</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.</span>
                                </span>
                            </div>",<h1>Apocalypse Now</h1>,,,"<span class=""release_year lighter"">1979</span>"
,,,,"<a href=""/person/charles-bates"">Charles Bates</a>,<a href=""/person/edna-may-wonacott"">Edna May Wonacott</a>,<a href=""/person/henry-travers"">Henry Travers</a>,<a href=""/person/hume-cronyn"">Hume Cronyn</a>,<a href=""/person/irving-bacon"">Irving Bacon</a>,<a href=""/person/joseph-cotten"">Joseph Cotten</a>,<a href=""/person/macdonald-carey"">Macdonald Carey</a>,<a href=""/person/patricia-collinge"">Patricia Collinge</a>,<a href=""/person/teresa-wright"">Teresa Wright</a>,<a href=""/person/wallace-ford"">Wallace Ford</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>A young woman discovers her visiting uncle may not be the man he seems to be.</span>
                                </span>
                            </div>",<h1>Shadow of a Doubt</h1>,,,"<span class=""release_year lighter"">1943</span>"
,,,,,"<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_539587""><span class=""blurb blurb_collapsed"">We Were Here documents the coming of what was called the “Gay Plague” in the early 1980s. It illuminates the profound personal and community issues raised by the AIDS epidemic as well as the broad political and social upheavals it unleashed.  It offers a cathartic validation for the generation that suffered through, and responded to, the</span><span class=""blurb blurb_expanded"">We Were Here documents the coming of what was called the “Gay Plague” in the early 1980s. It illuminates the profound personal and community issues raised by the AIDS epidemic as well as the broad political and social upheavals it unleashed.  It offers a cathartic validation for the generation that suffered through, and responded to, the onset of AIDS. It opens a window of understanding to those who have only the vaguest notions of what transpired in those years. It provides insight into what society could, and should, offer its citizens in the way of medical care, social services, and community support. [Red Flag Releasing]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>We Were Here</h1>,,,"<span class=""release_year lighter"">2011</span>"
,,,,"<a href=""/person/anthony-mackie"">Anthony Mackie</a>,<a href=""/person/brian-geraghty"">Brian Geraghty</a>,<a href=""/person/jeremy-renner"">Jeremy Renner</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_500020""><span class=""blurb blurb_collapsed"">When a new sergeant, James (Jeremy Renner), takes over a highly trained bomb disposal team amidst violent conflict, he surprises his two subordinates, Sanborn (Anthony Mackie) and Eldridge (Brian Geraghty), by recklessly plunging them into a deadly game of urban combat. James behaves as if he's indifferent to death. As the men struggle to</span><span class=""blurb blurb_expanded"">When a new sergeant, James (Jeremy Renner), takes over a highly trained bomb disposal team amidst violent conflict, he surprises his two subordinates, Sanborn (Anthony Mackie) and Eldridge (Brian Geraghty), by recklessly plunging them into a deadly game of urban combat. James behaves as if he's indifferent to death. As the men struggle to control their wild new leader, the city explodes into chaos, and James' true character reveals itself in a way that will change each man forever. [Summit Entertainment]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>The Hurt Locker</h1>,,,"<span class=""release_year lighter"">2009</span>"
,,,,"<a href=""/person/frank-sinatra"">Frank Sinatra</a>,<a href=""/person/laurence-harvey"">Laurence Harvey</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>John Frankenheimer's gripping political thriller about a group of American soldiers who are captured and brainwashed into becoming sleeper agents. (MGM)</span>
                                </span>
                            </div>",<h1>The Manchurian Candidate</h1>,,,"<span class=""release_year lighter"">1962</span>"
,,,,"<a href=""/person/bruce-willis"">Bruce Willis</a>,<a href=""/person/john-travolta"">John Travolta</a>,<a href=""/person/samuel-l-jackson"">Samuel L. Jackson</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>Several inter-locking stories of crime and intrigue form a temporal mosaic set in the Los Angeles underworld.</span>
                                </span>
                            </div>",<h1>Pulp Fiction</h1>,,,"<span class=""release_year lighter"">1994</span>"
,,,,"<a href=""/person/harry-carey-jr"">Harry Carey Jr.</a>,<a href=""/person/henry-brandon"">Henry Brandon</a>,<a href=""/person/jeffrey-hunter"">Jeffrey Hunter</a>,<a href=""/person/john-qualen"">John Qualen</a>,<a href=""/person/john-wayne"">John Wayne</a>,<a href=""/person/ken-curtis"">Ken Curtis</a>,<a href=""/person/natalie-wood"">Natalie Wood</a>,<a href=""/person/olive-carey"">Olive Carey</a>,<a href=""/person/vera-miles"">Vera Miles</a>,<a href=""/person/ward-bond"">Ward Bond</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.</span>
                                </span>
                            </div>",<h1>The Searchers</h1>,,,"<span class=""release_year lighter"">1956</span>"
,,,,"<a href=""/person/charlotte-rampling"">Charlotte Rampling</a>,<a href=""/person/tom-courtenay"">Tom Courtenay</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_543621""><span class=""blurb blurb_collapsed"">There is just one week until Kate Mercer's (Charlotte Rampling) 45th wedding anniversary and the planning for the party is going well. But then a letter arrives for her husband (Tom Courtenay). The body of his first love has been discovered, frozen and preserved in the icy glaciers of the Swiss Alps. By the time the party is upon them, five</span><span class=""blurb blurb_expanded"">There is just one week until Kate Mercer's (Charlotte Rampling) 45th wedding anniversary and the planning for the party is going well. But then a letter arrives for her husband (Tom Courtenay). The body of his first love has been discovered, frozen and preserved in the icy glaciers of the Swiss Alps. By the time the party is upon them, five days later, there may not be a marriage left to celebrate. [IFC Films]</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>45 Years</h1>,,,"<span class=""release_year lighter"">2015</span>"
,,,,"<a href=""/person/amy-dawson"">Amy Dawson</a>,<a href=""/person/dorothy-atkinson"">Dorothy Atkinson</a>,<a href=""/person/karl-johnson"">Karl Johnson</a>,<a href=""/person/lesley-manville"">Lesley Manville</a>,<a href=""/person/marion-bailey"">Marion Bailey</a>,<a href=""/person/paul-jesson"">Paul Jesson</a>,<a href=""/person/ruth-sheen"">Ruth Sheen</a>,<a href=""/person/sandy-foster"">Sandy Foster</a>,<a href=""/person/timothy-spall"">Timothy Spall</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span class=""inline_expand_collapse inline_collapsed"" id=""summary_blurb_542238""><span class=""blurb blurb_collapsed"">Mr. Turner explores the last quarter century of the life of the great if eccentric British painter J.M.W. Turner (Timothy Spall). Profoundly affected by the death of his father, loved by a housekeeper he takes for granted and occasionally exploits sexually, he forms a close relationship with a seaside landlady with whom he eventually lives</span><span class=""blurb blurb_expanded"">Mr. Turner explores the last quarter century of the life of the great if eccentric British painter J.M.W. Turner (Timothy Spall). Profoundly affected by the death of his father, loved by a housekeeper he takes for granted and occasionally exploits sexually, he forms a close relationship with a seaside landlady with whom he eventually lives incognito in Chelsea, where he dies. Throughout this, he travels, paints, stays with the country aristocracy, visits brothels, is a popular if anarchic member of the Royal Academy of Arts, has himself strapped to the mast of a ship so that he can paint a snowstorm, and is both celebrated and reviled by the public and by royalty.</span><span class=""blurb_etc"">…</span> <a rel=""nofollow"" class=""toggle_expand_collapse toggle_expand"" href=""#expand"">Expand</a></span>
                                </span>
                            </div>",<h1>Mr. Turner</h1>,,,"<span class=""release_year lighter"">2014</span>"
,,,,"<a href=""/person/annie-miller"">Annie Miller</a>,<a href=""/person/claude-miller"">Claude Miller</a>,<a href=""/person/franaois-truffaut"">François Truffaut</a>,<a href=""/person/franaoise-seigner"">Françoise Seigner</a>,<a href=""/person/jean-daste"">Jean Dasté</a>,<a href=""/person/jean-gruault"">Jean Gruault</a>,<a href=""/person/jean-pierre-cargol"">Jean-Pierre Cargol</a>,<a href=""/person/mathieu-schiffman"">Mathieu Schiffman</a>,<a href=""/person/nathan-miller"">Nathan Miller</a>,<a href=""/person/paul-ville"">Paul Villé</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>In a French forest in 1798, a child is found who cannot walk, speak, read or write. A doctor becomes interested in the child and patiently attempts to civilize him.</span>
                                </span>
                            </div>",<h1>The Wild Child</h1>,,,"<span class=""release_year lighter"">1970</span>"
,,,,"<a href=""/person/ariane-labed"">Ariane Labed</a>,<a href=""/person/athina-rachel-tsangari"">Athina Rachel Tsangari</a>,<a href=""/person/ethan-hawke"">Ethan Hawke</a>,<a href=""/person/julie-delpy"">Julie Delpy</a>,<a href=""/person/seamus-davey-fitzpatrick"">Seamus Davey-Fitzpatrick</a>,<a href=""/person/walter-lassally"">Walter Lassally</a>,<a href=""/person/xenia-kalogeropoulou"">Xenia Kalogeropoulou</a>","<div class=""summary_deck details_section"">
                                <span class=""label"">Summary:</span>
                                <span>
                                    <span>In this follow-up to Before Sunrise and Before Sunset, we meet Jesse and Celine nine years later in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.</span>
                                </span>
                            </div>",<h1>Before Midnight</h1>,,,"<span class=""release_year lighter"">2013</span>"
